name,pieces,price
Flail,,$9.99 
Emmet Mask,,"$9.99, 9.99€ | "
Lucy Hair,,"$4.99, 4.99€ | "
Emmet Pod,1,27
Sweet Mayhem's Disco Pod,1,28
TLM2 Tumbler with Straw,,"$7.99, 7.99€ | "
TLM2 Hydration Bottle,,"$12.99, 12.99€ | "
TLM2 Notebook,,"$12.99, 12.99€ | "
Emmet Plush,,"$19.99, 24.99€ | "
Lucy Plush,,"$24.99, 24.99€ | "
Friends Creative Bag Charms,,"$6.99, 5.99€ | "
Stephanie Key Chain,,"$4.99, 4.99€ | "
Olivia Key Chain,,"$4.99, 4.99€ | "
Friends Phone Cover,,24.99€ | 
Friends Tumbler with Straw,,"$7.99, 7.99€ | "
Cookie Cutters,,"$9.99, 9.99€ "
LEGO Friends Ceramic Mug,,$14.99 | 
LEGO Friends Hair Accessory Set,,"$9.99, 9.99€ | "
Jay Keyring,,"$4.99, 4.99€ | "
Nya Keyring,,"$4.99, 4.99€ | "
Lloyd's Kendo Training Pod,1,25
4 4x4 Magnets,,
NINJAGO Tumbler with Straw,,"$7.99, 7.99€ | "
Creative Bag Charm,,
Brick Suit Guy Key Chain,,
Cactus Boy Key Chain,,
Elephant Girl Key Chain,,
LEGO Greeting Card,40,"$4.99, 4.99€ "
LEGO Toy Soldier Ornament,,
Drinking cup,,
Ceramic minifig head mug,,
LEGO Brick Ice Cube Tray,,"$9.99, 9.99€ "
Ice Lollipop Tray,,
LEGO Key Hanger,,
London Bus Magnet,,
4 4x4 Magnets,,
Creative Stationery Set,,"$16.99, 16.99€ | "
City Firefighter Key Chain,,"$4.99, 4.99€ | "
City Police Vest,,$14.99 | 
LEGO DUPLO Tableware,,"$14.99, 14.99€ | "
Brick Stickers,17,
Creative Rings,,43
Stormtrooper Keyring,,"$4.99, 4.99€ | "
Luke Skywalker Key Chain,,"$4.99, 4.99€ | "
Princess Leia Key Chain,,"$4.99, 4.99€ | "
Kylo Ren Key Chain,,"$4.99, 4.99€ | "
Spider Man Key Chain,,"$4.99, 4.99€ | "
Batman Key Chain,,"$4.99, 4.99€ | "
Superman Key Chain,,"$4.99, 4.99€ | "
Batwoman Key Chain,,"$4.99, 4.99€ | "
Ariel Keyring,,"$4.99, 4.99€ | "
Aurora Keyring,,"$4.99, 4.99€ | "
Creeper Key Chain,,"$4.99, 4.99€ | "
Chicken Skater Pod,1,
2x6 Key Chain,,
TLM2 Stop Sign Shield,,15.99€ | 
Young Wu,,
Jay,,
Heavy Metal,,
Iron Baron,,
Lloyd,,
Daddy No Legs,,
Nya,,
Blizzard Samurai,,
Cole,,
Resistance Bomber,,
Slave I,,
U-Wing,,
IG-88,,
AT-M6,,
Millennium Falcon,,
B-Wing,,
First Order Stormtrooper ,,
Police Officer and Jet,,
Fireman,,
Lawnmower,,
Police Officer with Jetpack,,
Gyrocopter,,
Diver,,
Police Buggy,,
Astronaut,,
FIRST LEGO League Jr. promotional set,,
Spike Prime Marketing Kit,150,
Butterfly,,
LEGO System House,,
LEGO Play Day polybag,39,
2x4 Red Luggage Tag,,"$4.99, 7.99€ | "
